############
be-destined-for.91>va:????	A1>Theme	A2>Destination
be-from.91>va:????	A1>Theme	A2>Source
be-located-at.91>va:????	A1>Theme	A2>Location
be-polite.91>va:????	A1>Theme	A2>Extent
be-temporally-at.91>va:????	A1>Theme	A2>Time
### belong.91>va:????	A1>[possession]	A2>[possessor]
# binding-affinity.91>va:????	A1>[binding affinity constant measured (e.g. dissociation-constant (Kd), inhibitor-constant (Ki))]	A2>[binding affinity quantity (e.g. concentration-quantity such as '5 nanomolar')]
### but.91>va:????	A1>[first event]	A2>[second event]
# byline.91>va:????	A0>[news organization]	A1>[author]	A2>[photographer, illustrator]	A3>[translator]	A4>[means]
### cite.91>va:????	A1>[text accompanied by a citation]	A2>[source publication (may use publication-91)]
correlate.91>va:????	A1>Theme	A2>Co-Theme
### contrast.91>va:????	A1>[first item in comparison]	A2>[second item in comparison]
# course.91>va:????	A1>[topic]	A2>[number]	A3>[section]	A4>[institution]	A5>[instructor]
# distribution-range.91>va:????	A1>[center, mean]	A2>[lower bound]	A3>[upper bound]	A4>[radius, distance from center to bounds]	A5>[confidence that value is in range, typically a percentage, e.g. 95%]	A6>[deviation covered by range, e.g. standard-deviation, standard-error-of-the-mean]	A7>[type of distribution, e.g. normal-distribution]
### emit_sound.91>va:????	A1>[entity emitting sound]	A2>[the sound (may use (s / string-entity))]
### exist.91>va:????	A1>[location]	A2>[entity]
### gesture.91>va:????	A0>[gesturer]	A1>[the gesture]	A2>[audience]
### have.91>va:????	A1>[possessor]	A2>[possession]
### have-actor.91>va:????	A1>[event]	A2>[actor]
### have-affectee.91>va:????	A1>[event]	A2>[affectee]
### have-age.91>va:????	A1>[entity]	A2>[age]
### have-apprehensive.91>va:????	A1>[main event]	A2>[apprehensive event]
### have-cause.91>va:????	A1>[cause]	A2>[event]
### have-causer.91>va:????	A1>[event]	A2>[causer]
### have-companion.91>va:????	A1>[event]	A2>[accompanier]
have-concession.91>va:????	A1>Theme	A2>Concession
### have-concessive-condition.91>va:????	A1>[main event]	A2>[concessive condition]
have-condition.91>va:????	A1>Theme	A2>Condition
have-degree.91>va:????	A1>Theme	A2>Attribute	A3>Extent	A4>Source	A5>Location	A6>Idiom
# have-degree.92>va:????	A1>[attribute (e.g. tall)]	A2>['Intensifier', 'Downtoner', or 'Equal']
# have-degree-of-resemblance.91>va:????	A1>[Thing resembling things]	A2>[First resemblance under comparison]	A3>[Second resemblance under comparison]	A4>[Degree word comparing ARG2 to ARG3]
have-direction.91>va:????	A1>Theme	A2>Direction
### have-duration.91>va:????	A1>[thing that lasts]	A2>[period of time]
### have-example.91>va:????	A1>[example]	A2>[of what]
